iter	F1	Logloss
0	0.4859001235	0.6585070091
1	0.5491211323	0.6304598676
2	0.5921100255	0.6097037434
3	0.6072180982	0.5960922891
4	0.6067499598	0.5864522136
5	0.638838549	0.5737455675
6	0.646072518	0.5647190909
7	0.6591133463	0.5566749274
8	0.6732204081	0.5495698374
9	0.6728696977	0.5429990612
10	0.674813556	0.5383695545
11	0.693483435	0.5340177466
12	0.6918722962	0.5303758811
13	0.6994257119	0.5261208296
14	0.7151205995	0.5216966743
15	0.7191867639	0.5190716344
16	0.727167624	0.5155194331
17	0.7322062288	0.5120155932
18	0.7406873208	0.5076434767
19	0.7447004981	0.5031957369
20	0.7501526039	0.4986077871
21	0.7501180733	0.496250482
22	0.7536575013	0.4937548907
23	0.7520800257	0.4902957664
24	0.7580312228	0.4872868095
25	0.7645341683	0.4845911891
26	0.7650967638	0.4823691088
27	0.7660049044	0.4803391043
28	0.7679512503	0.4783100993
29	0.7690634275	0.4758502698
30	0.7697169619	0.4741064561
31	0.771323364	0.4723808531
32	0.773350691	0.4694184066
33	0.7765269382	0.4675257542
34	0.7746531807	0.4658671105
35	0.7748487818	0.4626655212
36	0.7780169467	0.4596766086
37	0.7770064915	0.457985965
38	0.7802966868	0.4565462245
39	0.7818629593	0.4542539977
40	0.7840707097	0.4527963345
41	0.7843760866	0.4513517129
42	0.7869683283	0.4500176872
43	0.7885069275	0.4486868692
44	0.7905229889	0.4473560681
45	0.7913269973	0.446287438
46	0.7915746216	0.4451342954
47	0.7920292259	0.4439360848
48	0.7933680511	0.4423450651
49	0.7937653376	0.4411657966
50	0.7940479558	0.4399572942
51	0.7958979849	0.4381657627
52	0.7965608592	0.4373245274
53	0.7975377488	0.4360306254
54	0.7989303738	0.4340377285
55	0.7983895454	0.4331032336
56	0.7992966322	0.4316929903
57	0.8002773101	0.4307050619
58	0.8001600574	0.4289667191
59	0.8026836219	0.4275452703
60	0.8029219716	0.4265201719
61	0.8048127374	0.4254930019
62	0.8071006512	0.4242349489
63	0.807230777	0.4233678189
64	0.8075281219	0.4222256563
65	0.8077355331	0.4213526509
66	0.8088038703	0.4200761174
67	0.8088120602	0.417888494
68	0.8089499804	0.4169916902
69	0.8095218228	0.4160348872
70	0.8096069429	0.4148167766
71	0.810449244	0.4137735415
72	0.8105218154	0.4130368283
73	0.8095338989	0.4116426411
74	0.8097692985	0.4108063753
75	0.8102318521	0.409747381
76	0.8112567602	0.4089134604
77	0.8118109593	0.4082793668
78	0.8127764699	0.4076813236
79	0.8132319718	0.407004992
80	0.8136314207	0.4062302499
81	0.8141226969	0.4052576377
82	0.8146292155	0.4046859797
83	0.8150271697	0.403881337
84	0.8151438928	0.4031182743
85	0.8165266414	0.4024757829
86	0.8167973336	0.402024331
87	0.8177374031	0.4012457964
88	0.8178696584	0.400836671
89	0.8182969602	0.4002336093
90	0.8181697639	0.399143889
91	0.8198126156	0.3983624544
92	0.8204645884	0.3975091083
93	0.8207490154	0.3968791016
94	0.8214254653	0.396175404
95	0.822291124	0.3954496038
96	0.8244228763	0.3944281046
97	0.8246526309	0.3939201629
98	0.8250973169	0.3932703382
99	0.8255960589	0.3926439581
100	0.8264520247	0.3918216406
101	0.8267363547	0.3908290918
102	0.8275970794	0.3899354672
103	0.8275457903	0.3885506607
104	0.8282361764	0.3879026802
105	0.8285258676	0.3869819027
106	0.8303218134	0.3862293942
107	0.8308684023	0.3855900787
108	0.8314022064	0.3850048647
109	0.832105495	0.3845260801
110	0.8314139533	0.3838642922
111	0.8327392377	0.3833983119
112	0.8328992007	0.3829075093
113	0.8328486064	0.3823754578
114	0.8335197685	0.3818112385
115	0.8327837711	0.3808212852
116	0.8333416437	0.3803089962
117	0.8336528871	0.3797997669
118	0.833824782	0.3794164364
119	0.835099215	0.3788012434
120	0.8356231556	0.3782935408
121	0.8358829228	0.3774757648
122	0.8367673362	0.3766965304
123	0.8370295315	0.3760078223
124	0.837428134	0.3755795792
125	0.8377331865	0.3749473187
126	0.8382671605	0.3744981833
127	0.8383632727	0.3740273351
128	0.8393265966	0.3735176631
129	0.8394388898	0.3728220114
130	0.8397292297	0.3723468979
131	0.8403882247	0.3718203017
132	0.8402221494	0.3714218433
133	0.8406776312	0.3709325724
134	0.8413562034	0.3704685097
135	0.8416050856	0.3699367499
136	0.8421739708	0.3694884974
137	0.8415230737	0.3689871786
138	0.8420299528	0.3684747884
139	0.8432348624	0.3677465549
140	0.8431607177	0.3672925134
141	0.8440693444	0.3668608313
142	0.8449646802	0.3662478514
143	0.8453186023	0.3655247882
144	0.8459935376	0.3648027422
145	0.845985598	0.3643765264
146	0.8460554299	0.3638099542
147	0.8464383209	0.3634189363
148	0.846992711	0.3625048375
149	0.8476287904	0.3620142845
150	0.8486084143	0.3614609205
151	0.8489072998	0.3609795076
152	0.8493206054	0.3598678678
153	0.8492756154	0.3593834404
154	0.8502934698	0.3587379689
155	0.8507915293	0.3582485837
156	0.8521247449	0.3576448281
157	0.8522146259	0.3572585278
158	0.8527357882	0.3562804717
159	0.8528625768	0.3558884475
160	0.85393129	0.355385238
161	0.8537629881	0.354869704
162	0.8539971968	0.3543565955
163	0.8543337926	0.3538625322
164	0.8543947594	0.3534279785
165	0.8547626958	0.3529912876
166	0.8554641242	0.3524302632
167	0.8556049702	0.351885186
168	0.8558886989	0.3515114107
169	0.8560526589	0.3511432962
170	0.8563891018	0.3506915832
171	0.8567073125	0.3502092968
172	0.8569497275	0.3497471235
173	0.8569332868	0.3493538872
174	0.857114813	0.3488535504
175	0.8572355005	0.3483152439
176	0.8577156165	0.3478506711
177	0.857782705	0.3473965122
178	0.857851643	0.3468942723
179	0.8580328181	0.3464610397
180	0.8583795178	0.3458930093
181	0.8584803002	0.3455017613
182	0.8584638561	0.3450616187
183	0.8586448155	0.3446214579
184	0.8595403935	0.3441817471
185	0.8600483414	0.3436876762
186	0.8601253266	0.3431466314
187	0.8603703533	0.3427857624
188	0.8604843444	0.3423140897
189	0.8604097605	0.3410175086
190	0.8614055241	0.3406456063
191	0.8612969652	0.3403002541
192	0.861301081	0.3398924148
193	0.8615703921	0.3395287053
194	0.8618094591	0.3391566875
195	0.8620813078	0.3387240158
196	0.8625135044	0.338305035
197	0.8628891688	0.3379568923
198	0.8632057469	0.3375224875
199	0.8632578101	0.3371143598
200	0.8635989383	0.3364057392
201	0.8635633732	0.3359645025
202	0.8636685432	0.3355333497
203	0.8644047496	0.3351173527
204	0.8644237612	0.334676489
205	0.8646398339	0.3342907775
206	0.8653131899	0.3339969409
207	0.8655849809	0.3335622807
208	0.8656828931	0.3331745578
209	0.8661188991	0.3327973377
210	0.8660711957	0.3323619856
211	0.8662890659	0.3320181503
212	0.8665163302	0.3307585786
213	0.8666923314	0.3303063733
214	0.8669796078	0.330018602
215	0.8671572601	0.3296084869
216	0.8674057407	0.3293593214
217	0.8676166554	0.329002701
218	0.8681127525	0.3286608655
219	0.868286147	0.3281181068
220	0.8685402017	0.3277565613
221	0.8684265477	0.3267929147
222	0.8686743201	0.3263694853
223	0.8691635374	0.3260477125
224	0.8693966806	0.3255846576
225	0.8696276922	0.3252652022
226	0.8700336088	0.3249468501
227	0.8702685059	0.324538089
228	0.8703673612	0.324218735
229	0.8706206223	0.323864732
230	0.8707565747	0.3235137498
231	0.8713036421	0.323186737
232	0.8714886224	0.3227281826
233	0.8715092665	0.3223146965
234	0.8716923501	0.3220348764
235	0.8715895671	0.3217774331
236	0.8717230885	0.3214529902
237	0.8720065413	0.3210879851
238	0.872160604	0.3208191397
239	0.8720455103	0.3204525636
240	0.8725647595	0.3200002914
241	0.8727841024	0.3196832097
242	0.873118276	0.3194223537
243	0.8733298939	0.3191361162
244	0.8733051056	0.3188453444
245	0.8737356862	0.3185538109
246	0.8736968554	0.3181524347
247	0.8740859045	0.317876516
248	0.8740471022	0.3175390695
249	0.8744251085	0.3172663257
250	0.8747903931	0.3169823469
251	0.8748967794	0.3166694866
252	0.8754438449	0.3163720762
253	0.875512923	0.3160886176
254	0.8757144816	0.3158245797
255	0.8762399752	0.3154941735
256	0.8764949316	0.3152127897
257	0.8766561284	0.314828874
258	0.8766368213	0.3145600436
259	0.8766836512	0.3142931119
260	0.8769562814	0.3139694548
261	0.8773745226	0.3137314073
262	0.877650908	0.3134593473
263	0.8780631551	0.3131950628
264	0.8781730985	0.3129600843
265	0.8786989562	0.312697138
266	0.8786469902	0.3123135008
267	0.8788170741	0.3120737744
268	0.8791228407	0.3118230719
269	0.879440823	0.3115834782
270	0.8798600131	0.311312609
271	0.8799820808	0.3108191301
272	0.8801299929	0.3105587427
273	0.8804359981	0.3102307025
274	0.8805796436	0.3099657198
275	0.8804990525	0.3097046236
276	0.8803967535	0.3093364931
277	0.8807232547	0.3090567513
278	0.8810020987	0.3085925853
279	0.8809400415	0.3082195411
280	0.8811847133	0.3080082272
281	0.8814292905	0.3076753917
282	0.8815602681	0.3074363724
283	0.881762436	0.3070030157
284	0.8818005547	0.3067726529
285	0.8820241935	0.3064973064
286	0.8821086562	0.30618682
287	0.8826440728	0.3059076232
288	0.8826391376	0.3055323421
289	0.8828029249	0.3052987901
290	0.883034438	0.3050682923
291	0.8835848298	0.3047822008
292	0.8837070052	0.3045247082
293	0.883891933	0.304288423
294	0.8840685184	0.304057557
295	0.8844208738	0.3037960147
296	0.8848109187	0.3034782355
297	0.8847612216	0.3032298605
298	0.884865941	0.3029032641
299	0.8850504867	0.3026599116
300	0.8855908101	0.3023464427
301	0.885528152	0.3020885631
302	0.8859091842	0.3018784044
303	0.8860561117	0.3015972337
304	0.8863364548	0.3013990775
305	0.8863157414	0.3011308161
306	0.8865752328	0.300844664
307	0.8868888455	0.3006397941
308	0.8870602746	0.3003444745
309	0.8872565012	0.3001653512
310	0.8872147008	0.2998766855
311	0.8873483772	0.2995929252
312	0.8875320837	0.2993110261
313	0.8878116734	0.2991086723
314	0.8876570643	0.2982844015
315	0.8878865759	0.298028429
316	0.8880618285	0.2977708565
317	0.8884038615	0.2975166845
318	0.8885245602	0.297299643
319	0.8885455303	0.2970382443
320	0.8885955087	0.2968159324
321	0.8888870128	0.2965874432
322	0.8891369312	0.2962326478
323	0.8889744792	0.2960625963
324	0.8889245304	0.2958406806
325	0.8889369655	0.2956668742
326	0.8891533219	0.2952809474
327	0.8892908551	0.2950594493
328	0.8895488581	0.2947827103
329	0.8901225953	0.2946270279
330	0.890101765	0.2944064657
331	0.8903095252	0.2942006086
332	0.8903178172	0.2939703776
333	0.8905587117	0.293744146
334	0.8906416915	0.2935341396
335	0.8911354621	0.293323486
