iter	Passed	Remaining
0	1351	1349920
1	2683	1339000
2	4006	1331376
3	5258	1309307
4	6504	1294306
5	7745	1283172
6	8975	1273234
7	10238	1269593
8	11479	1264011
9	12706	1257936
10	14108	1268458
11	15537	1279228
12	16892	1282504
13	18192	1281288
14	19412	1274765
15	20645	1269681
16	21881	1265276
17	23153	1263141
18	24357	1257625
19	25593	1254064
20	26789	1248894
21	28027	1245967
22	29255	1242741
23	30459	1238701
24	31679	1235486
25	32907	1232750
26	34166	1231248
27	35441	1230312
28	36676	1228040
29	37877	1224695
30	39099	1222182
31	40313	1219484
32	41519	1216660
33	42747	1214519
34	43968	1212266
35	45174	1209685
36	46377	1207060
37	47573	1204364
38	48805	1202626
39	50021	1200506
40	51223	1198135
41	52485	1197177
42	53720	1195583
43	54943	1193767
44	56194	1192563
45	57385	1190122
46	58587	1187946
47	59802	1186085
48	61039	1184671
49	62296	1183632
50	63527	1182113
51	64735	1180176
52	65948	1178361
53	67172	1176758
54	68385	1174982
55	69592	1173130
56	70811	1171490
57	72062	1170399
58	73285	1168843
59	74487	1166963
60	75719	1165587
61	76932	1163913
62	78125	1161963
63	79331	1160220
64	80546	1158634
65	81784	1157370
66	82995	1155739
67	84237	1154555
68	85459	1153078
69	86682	1151639
70	87925	1150464
71	89115	1148598
72	90319	1146935
73	91534	1145417
74	92724	1143603
75	93956	1142310
76	95162	1140714
77	96352	1138937
78	97545	1137207
79	98777	1135935
80	99962	1134143
81	101158	1132478
82	102385	1131174
83	103578	1129499
84	104761	1127725
85	105980	1126351
86	107177	1124743
87	108411	1123534
88	109630	1122173
89	110835	1120665
90	112087	1119641
91	113305	1118274
92	114510	1116784
93	115727	1115416
94	116937	1113982
95	118142	1112504
96	119322	1110809
97	120513	1109213
98	121705	1107646
99	122894	1106047
100	124116	1104758
101	125310	1103227
102	126571	1102280
103	127798	1101030
104	128996	1099540
105	130180	1097939
106	131398	1096628
107	132618	1095328
108	133823	1093915
109	135023	1092462
110	136223	1091017
111	137445	1089745
112	138652	1088362
113	139848	1086896
114	141101	1085869
115	142275	1084233
116	143536	1083270
117	144734	1081830
118	145954	1080554
119	147159	1079167
120	148383	1077927
121	149590	1076562
122	150788	1075137
123	151986	1073710
124	153192	1072347
125	154426	1071180
126	155633	1069824
127	156816	1068313
128	158009	1066872
129	159188	1065335
130	160411	1064104
131	161608	1062695
132	162797	1061242
133	164008	1059934
134	165180	1058377
135	166336	1056726
136	167513	1055211
137	168739	1054009
138	169893	1052364
139	171083	1050942
140	172291	1049635
141	173502	1048348
142	174692	1046931
143	175909	1045682
144	177078	1044151
145	178246	1042619
146	179431	1041190
147	180619	1039782
148	181801	1038345
149	183017	1037100
150	184189	1035609
151	185375	1034202
152	186623	1033138
153	187848	1031945
154	189022	1030475
155	190202	1029046
156	191418	1027806
157	192623	1026514
158	193819	1025172
159	195043	1023976
160	196263	1022762
161	197518	1021731
162	198787	1020766
163	199977	1019399
164	201157	1017977
165	202362	1016689
166	203561	1015367
167	204765	1014079
168	205954	1012710
